0,yes,464.4
1,yes,378.9
2,no,0
3,no,0
4,yes,91.9
5,yes,366.3
6,yes,111.7
7,yes,372.1
8,yes,419.8
9,yes,143.9
10,yes,345.3
11,no,0
12,yes,330.8
13,no,0
14,yes,163.3
15,no,0
16,yes,299.8
17,no,0
18,no,0
19,yes,476.8
20,no,0
21,yes,230.4
22,yes,56.7
23,no,0
24,yes,475.7
25,no,0
26,yes,204.4
27,yes,82.7
28,no,0
29,no,0
30,yes,68.2
31,no,0
32,no,0
33,yes,187
34,no,0
35,no,0
36,no,0
37,no,0
38,yes,196
39,no,0
40,yes,28.8
41,yes,64.1
42,yes,84.9
43,yes,434.2
44,no,0
45,no,0
46,no,0
47,no,0
48,yes,242
49,no,0
50,no,0
51,yes,246.1
52,no,0
53,yes,425.1
54,yes,66.5
55,no,0
56,yes,77.9
57,no,0
58,yes,247.6
59,yes,463.1
60,yes,267.9
61,no,0
62,yes,374
63,no,0
64,no,0
65,yes,451.9
66,yes,373.3
67,yes,317.7
68,yes,117.1
69,yes,16.8
70,no,0
71,yes,252.8
72,yes,58.1
73,yes,433.1
74,no,0
75,yes,197.5
76,no,0
77,yes,319
78,no,0
79,yes,52.9
80,yes,256.7
81,yes,68.3
82,no,0
83,yes,477.2
84,yes,359.3
85,yes,258
86,no,0
87,yes,28.7
88,yes,436.1
89,yes,337.3
90,no,0
91,yes,303.7
92,no,0
93,yes,52.2
94,yes,220.1
95,no,0
96,no,0
97,yes,353.7
98,yes,374.1
99,yes,489.2
100,no,0
101,no,0
102,yes,62.8
103,no,0
104,yes,61.7
105,yes,273.9
106,yes,212
107,yes,231.8
108,no,0
109,yes,158.9
110,no,0
111,yes,108.5
112,no,0
113,yes,261.9
114,no,0
115,yes,93
116,no,0
117,no,0
118,yes,277.3
119,yes,385.2
120,yes,60.2
121,yes,347.8
122,no,0
123,yes,179.3
124,no,0
125,no,0
126,no,0
127,yes,382.8
128,yes,84.8
129,no,0
130,yes,393.3
131,yes,98.1
132,yes,346.2
133,yes,208.7
134,yes,65.4
135,no,0
136,no,0
137,no,0
138,no,0
139,yes,362.9
140,yes,252.9
141,no,0
142,no,0
143,no,0
144,no,0
145,yes,439.5
146,yes,424.7
147,yes,408.6
148,no,0
149,yes,227.3
150,yes,77.5
151,no,0
152,yes,460.9
153,no,0
154,yes,218.6
155,no,0
156,no,0
157,yes,245.4
158,yes,226
159,yes,245.2
160,no,0
161,yes,389.7
162,yes,182.3
163,no,0
164,no,0
165,yes,53.9
166,yes,107
167,no,0
168,no,0
169,yes,94.1
170,yes,14.3
171,no,0
172,yes,343.7
173,yes,183.5
174,no,0
175,yes,271.8
176,no,0
177,yes,391
178,no,0
179,yes,489.3
180,yes,333.5
181,yes,331.7
182,yes,385.4
