0,3365,1393,7.5
1,1683,355,63.2
2,991,2127,67
3,3245,2414,27.1
4,718,711,96
5,376,1274,53.1
6,3998,2121,25.4
7,1789,2532,46
8,503,2125,41.9
9,481,39,10.1
10,2935,774,23.3
11,788,677,96.8
12,1579,1780,93.1
13,3272,1790,29.1
14,1077,918,77.5
15,1099,2450,15.9
16,2307,146,53.9
17,1966,2965,15.4
18,2151,332,12.7
19,1702,999,66.3
20,1161,2745,86.1
21,811,268,44.6
22,1066,1547,74.2
23,798,244,52.5
24,3643,750,99.6
25,1121,2424,59.6
26,3753,2856,48.7
27,2909,2854,57.2
28,2993,1305,86.8
29,3924,991,23.3
30,3136,92,69.5
31,3405,2162,24.6
32,1311,1120,13
33,634,234,87.2
34,579,1758,39.7
35,2958,2492,51.1
36,3673,2946,23.5
37,3891,1190,62
38,3041,1027,30.8
39,2282,2347,55.6
40,185,1253,43.7
41,3352,1841,6.6
42,1607,1799,96.9
43,3657,405,65.5
44,833,735,61.5
45,2739,1061,95.6
46,997,1695,98.6
47,3908,1065,4.8
48,3329,2478,53.7
49,1395,1565,98.2
50,3283,604,63.6
51,2234,1464,77.1
52,23,2263,45.9
53,1085,457,60.9
54,2002,1312,7.4
55,1605,1761,75.6
56,2713,1647,35.9
57,2722,2747,2.6
58,370,238,65.4
59,619,2433,71.6
60,1108,548,56.5
61,1876,2808,58.5
62,3351,2653,12.2
63,2548,1248,77.8
64,1298,2929,98.6
65,215,2877,32.1
66,3225,1761,20.3
67,640,73,92.1
68,1565,397,54.3
69,1431,2223,58
70,463,2006,50.5
71,1908,1417,93.2
72,3237,809,65
73,2813,704,56.2
74,1228,1676,84.9
75,3737,2532,78.6
76,1155,1436,94.3
77,3298,2290,17.4
78,2212,2290,96.7
79,132,2776,72.2
80,3931,64,24.4
81,2721,2245,31.2
82,22,2764,6.8
83,2419,2259,50.9
84,1027,2657,99.1
85,3405,543,8.8
86,394,586,50.6
87,3357,578,73.5
88,966,1657,80
89,1574,1936,89.6
90,3220,2566,21
91,3175,2504,36.4
92,2503,1253,6.2
93,1419,2979,25.4
94,256,204,80.2
95,2808,1786,71.5
96,1349,902,4.2
97,1455,1452,20.5
98,1131,1568,83.1
99,202,1436,2.9
100,2915,1904,6.1
101,3244,332,95.4
102,850,1345,67.8
103,1317,782,7.5
104,2724,1859,83.3
105,2873,429,47.1
106,429,1720,7.4
107,1036,292,20.9
108,3736,723,56.2
109,2652,2094,55.2
110,2137,351,26.1
111,2388,1976,16.5
112,410,1073,7.5
113,351,1093,33.5
114,1625,2731,89.4
115,2713,296,23.8
116,2997,423,76.8
117,354,1598,4.9
118,2074,2872,25.4
119,1136,2558,90.1
120,1193,1852,3.1
121,212,2791,90.1
122,1912,2327,85.8
123,443,547,27.7
124,1521,2692,82.9
125,514,1385,39.3
126,2595,2689,4.8
127,2687,1843,91.5
128,3873,1366,73
129,2444,1431,98.7
130,1376,1889,48.2
131,181,126,26
132,1778,2010,7.5
133,2555,2398,76.8
134,49,1229,42.7
135,323,2131,14.6
136,3166,2714,33.1
137,1364,2584,37.5
138,1493,825,92.4
139,1578,716,90.1
140,2537,68,76.8
141,1482,1312,2
142,845,2655,94.9
143,2300,402,33.8
144,3589,297,71
145,53,732,94.9
146,1763,705,27.5
147,3124,983,90.9
148,1524,384,5.4
149,1797,1078,21.3
150,3370,731,37.4
151,260,2446,20.6
152,1643,784,72.5
153,2229,2184,21
154,2629,218,6.4
155,1837,1842,34.2
156,2043,2305,98.8
157,96,2826,70.4
158,2376,2414,24.4
159,3090,360,20.7
160,270,968,44.2
161,3094,2357,45.8
162,2689,2879,50.8
163,2058,1181,86.2
164,1587,2661,21.9
165,332,1757,66.9
166,2868,2129,42.4
167,3448,2031,35.2
168,3770,1237,75
169,2709,2576,49.2
170,41,1255,43.8
171,2171,1797,66.1
172,2430,2111,73.7
173,211,2241,28.9
174,1510,1569,71.9
175,1124,669,94.4
176,678,2472,32.6
177,2188,627,44.9
178,3451,2327,82.7
179,2444,2993,83.5
180,41,2070,92.2
181,2269,430,8.4
182,642,2082,15.3
183,2914,1864,27.5
184,20,1629,88.8
185,2416,290,62.4
186,3971,1678,67.3
187,1095,2165,4
188,1324,1932,23.4
189,2542,1326,14
190,1336,576,84.5
191,1625,162,63.3
192,3092,2142,13.8
193,212,615,42
194,372,431,78.8
195,1167,139,67.4
196,1774,968,84.4
197,2982,2664,78.5
198,452,1645,94.8
199,3306,698,3.7
200,2433,846,66
201,3460,1654,20.4
202,114,2859,11.4
203,3174,557,65
204,3519,1660,75.8
205,1471,2633,8.6
206,2734,1822,79.4
207,1748,2577,89.5
208,2339,1958,36.1
209,3243,546,53
210,588,2748,8.6
211,2249,1492,91.9
212,1819,2944,16.2
213,819,22,18.2
214,747,2974,56
