0,1022,664,50.8
1,1377,124,79
2,237,1052,78.2
3,1918,789,6.9
4,249,1039,30.8
5,1647,989,10.1
6,281,523,49.8
7,1586,1496,79.6
8,119,1439,95
9,1085,591,68.2
10,921,1035,30.7
11,1314,923,45.9
12,200,1444,5.9
13,945,1368,28.5
14,330,823,32.3
15,1715,196,76.8
16,999,79,33
17,372,1116,89.2
18,1966,583,36.9
19,1537,1028,74.6
20,1183,826,8.4
21,41,1135,3.1
22,1188,214,87
23,65,152,65
24,304,556,61.6
25,1612,673,49.2
26,39,742,85.5
27,997,409,13.9
28,1109,377,46.7
29,379,1416,41.7
30,1495,757,61.8
31,1890,882,12.1
32,1922,240,84.4
33,1142,1023,42.8
34,1466,206,36.9
35,546,886,62
36,1840,670,1.1
37,198,1279,82.6
38,304,1194,43.9
39,440,964,40.2
40,729,126,18.3
41,1024,1362,45
42,424,663,22.9
43,1800,883,95.1
44,1233,361,75.4
45,1014,719,76.8
46,1333,471,28.3
47,867,813,5.2
48,330,1047,67.7
49,387,760,57
50,960,1234,84.6
51,612,304,88.9
52,1638,867,54.6
53,916,347,97.1
54,140,397,76.6
55,477,995,83.5
56,314,1336,72.5
57,1765,650,72.2
58,684,1152,37.3
59,1967,1304,54
60,1447,2,44.9
61,545,1381,22.4
62,1717,745,28.6
63,589,1079,48.6
64,1479,1218,33.2
65,1639,805,40.4
66,1970,1483,65.1
67,1102,710,84.5
68,777,456,35.4
69,366,378,13.5
70,843,1454,79.6
71,1525,1192,83.2
72,285,245,16.3
73,888,1138,31.1
74,1156,1342,59.9
75,1601,591,35.1
76,1758,1356,41.9
77,439,1332,78.1
78,119,1301,49.2
79,275,516,22.6
80,1587,1230,36.4
81,1905,327,24.6
82,1713,988,27.8
83,1860,1261,12.7
84,483,281,10.1
85,276,483,88.3
86,1661,912,48.9
87,1300,1381,47.2
88,267,525,12.9
89,1624,508,70.3
90,1698,820,61.4
91,65,552,64.5
92,1712,521,3.1
93,263,957,42
94,1244,976,52.7
95,1532,1306,20.8
96,1781,264,16.5
97,1677,1051,74.9
98,1358,780,20.3
99,1387,295,12.1
100,1260,47,61.9
101,1632,577,92.3
102,1970,171,84.8
103,1759,663,19.8
104,1452,946,99.2
105,464,1168,64.7
106,390,381,14.7
107,309,1108,28.4
108,1414,505,64.7
109,316,1424,35.5
110,822,774,40.8
111,1131,1068,43.4
112,1736,1452,83.1
113,649,1318,91.9
114,1657,997,96.9
115,857,801,82.7
116,1757,1495,47
117,401,643,28.5
118,1373,3,0.8
119,652,1279,23.2
120,554,47,56.2
121,1805,264,63.6
122,1025,930,11.7
123,1505,691,6.3
124,1930,210,32.4
125,420,819,50.9
126,310,241,10.3
127,727,1229,76.7
128,67,1092,26.1
129,1424,1216,59.3
130,580,700,5.8
131,1522,443,64.8
132,96,1186,26.9
133,1844,90,33.3
134,558,35,64.4
135,1695,937,12.3
136,814,927,4
137,1662,468,77.9
138,277,767,82.3
139,1835,916,3.7
140,1379,248,83.9
141,556,666,0.1
142,844,745,62.9
143,1027,846,33.1
144,1361,589,24.7
145,464,1376,68.7
146,336,586,67.8
147,731,159,25.3
148,270,140,55.5
149,84,1153,48.2
150,630,1347,52.3
151,1822,376,69.2
152,1488,110,49
153,1213,1274,89
154,1025,1069,17.6
155,360,759,45.8
156,1499,13,32.1
157,881,1368,31.5
158,714,1156,38
159,1814,702,46
160,570,972,57.4
161,1335,830,30.2
162,1006,859,16.7
163,1641,985,21.7
164,1631,88,11.3
165,1664,1350,36.7
166,1974,1101,83.9
167,1821,991,20.7
168,1946,406,63.4
169,218,430,89.2
170,920,529,96.3
171,1341,69,72.3
172,1738,497,57.8
173,207,188,55.3
174,80,1359,52.4
175,419,1408,1.4
176,808,533,34.7
177,720,878,58
178,1407,590,31.8
179,161,1227,3
180,1900,1214,60.6
181,21,1255,86.6
182,47,908,84.1
183,962,168,17.1
184,837,474,40.9
185,1184,929,53.5
186,1707,141,24
187,1182,555,62.1
188,1355,1238,42.8
189,949,191,91
190,1216,930,26.2
191,1905,456,25.4
192,210,418,8.7
193,298,187,34.2
194,883,82,47.6
195,1433,1481,51.6
196,46,835,60.5
197,430,1448,27.1
198,82,546,39.5
199,1793,911,25.9
200,1578,417,90.2
201,1692,1481,64
202,697,141,12.8
203,1842,882,4.5
204,1046,28,32.8
205,366,36,62.5
206,1691,1155,53.2
207,3,1392,9
208,803,1228,82.7
209,753,844,56.8
210,1708,358,32.9
211,309,1001,60.6
212,367,1415,75.1
213,954,1186,7.7
214,272,1241,84.4
215,464,603,26.9
216,1057,915,7.7
217,573,962,4.4
218,1189,1223,98.1
219,843,1339,70.4
220,740,1396,16.7
221,1208,602,68.6
222,609,1166,49.4
223,1439,835,9.4
224,1827,303,74.4
225,1490,459,64.7
226,1339,669,7.9
227,1834,524,28.9
228,600,709,31.5
229,1222,1462,84.7
230,778,1108,34.2
