0,no,0
1,yes,188.8
2,yes,241
3,yes,51.8
4,no,0
5,no,0
6,no,0
7,yes,35.7
8,no,0
9,yes,133
10,yes,46.8
11,no,0
12,yes,322.6
13,no,0
14,yes,129.5
15,yes,366.8
16,no,0
17,no,0
18,yes,208.7
19,yes,276.3
20,yes,123.2
21,yes,431.4
22,yes,2.2
23,yes,299.5
24,no,0
25,no,0
26,no,0
27,yes,372.9
28,no,0
29,yes,308.9
30,no,0
31,no,0
32,no,0
33,no,0
34,yes,338.1
35,yes,258.3
36,yes,453.9
37,yes,79
38,yes,229.2
39,yes,296.7
40,yes,0
41,yes,297.3
42,yes,271.3
43,no,0
44,yes,182.8
45,yes,33
46,no,0
47,no,0
48,yes,309.4
49,yes,254.5
50,no,0
51,yes,249.8
52,yes,321.4
53,yes,332.7
54,yes,455.2
55,no,0
56,yes,249.5
57,no,0
58,yes,479.3
59,yes,386.1
60,no,0
61,no,0
62,yes,57.3
63,yes,41.8
64,no,0
65,yes,197.6
66,yes,65.2
67,yes,27.1
68,no,0
69,no,0
70,no,0
71,no,0
72,no,0
73,no,0
74,yes,114.6
75,yes,370.1
76,yes,104.4
77,yes,286.7
78,no,0
79,yes,453.6
80,yes,497.6
81,yes,138
82,yes,421.7
83,no,0
84,yes,497.7
85,no,0
86,yes,88.5
87,yes,5.5
88,no,0
89,no,0
90,yes,460.4
91,yes,203.2
92,no,0
93,no,0
94,no,0
95,yes,366.6
96,yes,418
97,yes,497.9
98,no,0
99,no,0
100,no,0
101,yes,473.5
102,yes,394.5
103,yes,264.6
104,yes,267.1
105,yes,198.7
106,yes,431.1
107,yes,162.5
108,yes,90.7
109,no,0
110,no,0
111,yes,346.6
112,yes,370.6
113,yes,254.2
114,no,0
115,no,0
116,yes,228.2
117,yes,408
118,no,0
119,yes,88.7
120,no,0
121,yes,283.8
122,yes,208.2
123,yes,411.9
124,yes,411.9
125,yes,213.7
126,no,0
127,no,0
128,no,0
129,no,0
130,yes,139.6
131,no,0
132,no,0
133,yes,269.9
134,no,0
135,yes,137.6
136,no,0
137,yes,115.1
138,yes,340.9
139,yes,381.7
140,yes,317.4
141,no,0
142,no,0
143,yes,320.7
144,yes,397.9
145,no,0
146,no,0
147,no,0
148,yes,453.3
149,no,0
150,no,0
151,no,0
152,no,0
153,yes,94.7
154,no,0
155,no,0
156,yes,75.7
157,no,0
158,yes,133.6
159,yes,32.8
160,no,0
161,yes,95.8
162,no,0
163,yes,106.9
164,no,0
165,yes,228.4
166,no,0
167,no,0
168,no,0
169,no,0
170,no,0
171,no,0
172,yes,223.2
173,yes,174.9
174,no,0
175,yes,209.6
176,yes,478.8
177,yes,143.5
178,yes,355.4
179,yes,399.3
180,no,0
181,no,0
182,no,0
183,no,0
184,no,0
185,no,0
186,yes,211.3
187,no,0
188,no,0
189,no,0
190,yes,172.3
191,yes,400.1
192,yes,179.2
193,no,0
194,no,0
195,no,0
196,no,0
197,no,0
198,yes,78
199,yes,435.2
200,no,0
201,yes,78.5
202,no,0
203,no,0
204,yes,155.3
205,no,0
206,yes,473.5
207,no,0
208,yes,263
209,yes,307
210,no,0
211,yes,115
212,no,0
213,no,0
214,yes,128.6
215,no,0
216,no,0
217,no,0
218,yes,377.3
219,no,0
220,no,0
221,yes,186.2
222,no,0
223,yes,84.4
224,no,0
225,no,0
226,yes,496
227,yes,461.6
228,yes,380
229,yes,462.1
230,no,0
231,yes,342.4
232,yes,212.7
233,no,0
234,no,0
