Gosen,6
Genesis,10
Santa Anne Company,29
Nelson,36
Spalding,44
Wilson,53
Wilson,56
Wilson,93
Roll Out,96
Johnson,98
Bubble Face,176
Skip Shot,190
Gemini,196
Head,237
Roll Out,242
Santa Anne Company,262
Johnson,267
Head,277
Nike,298
Marty Hogan,301
CourtPlay,302
CourtPlay,327
Roll Out,349
Pro Kennex,373
Head,402
Nelson,406
Santa Anne Company,408
Swain,409
E-Force,437
Pro Kennex,452
Genesis,521
Santa Anne Company,537
Ektelon,549
Nike,614
Pro Kennex,616
Nelson,629
Santa Anne Company,660
Santa Anne Company,663
Wilson,672
Gemini,698
Z-Ball,711
Gemini,731
Bubble Face,732
Johnson,752
Roll Out,766
Santa Anne Company,775
First USA,780
Santa Anne Company,782
Nelson,796
Bubble Face,826
Roll Out,871
First USA,938
Beefcake,961
Marty Hogan,976
Gosen,1036
Pinch,1120
Ellis,1125
First USA,1126
Ektelon,1147
Beefcake,1175
Skip Shot,1180
Pinch,1188
First USA,1196
Marty Hogan,1227
Spalding,1234
Johnson,1237
Marty Hogan,1243
Marty Hogan,1265
Bubble Face,1286
Nike,1290
Gemini,1322
Johnson,1333
Johnson,1347
Ellis,1352
Beefcake,1385
Skip Shot,1398
CourtPlay,1463
Ektelon,1474
Swain,1513
Swain,1524
Ektelon,1526
Z-Ball,1543
Pro Kennex,1552
Z-Ball,1554
Nelson,1555
Wilson,1575
Johnson,1586
Johnson,1587
Skip Shot,1595
Reebok,1608
Beefcake,1616
Beefcake,1626
Marty Hogan,1699
Head,1713
Nike,1717
Santa Anne Company,1753
Genesis,1810
Marty Hogan,1829
Nike,1838
Marty Hogan,1859
Marty Hogan,1891
Gemini,1892
CourtPlay,1907
Swain,1924
Pinch,1945
Pinch,1963
Gemini,2021
Santa Anne Company,2029
Roll Out,2041
Genesis,2084
Roll Out,2107
Bubble Face,2130
Johnson,2141
Pinch,2142
Beefcake,2155
CourtPlay,2160
First USA,2169
Wilson,2193
Johnson,2219
E-Force,2244
Swain,2258
Head,2292
Genesis,2364
Gemini,2406
Pro Kennex,2415
Nelson,2440
Pinch,2467
Spalding,2517
Pro Kennex,2563
Nelson,2579
Spalding,2605
Wilson,2611
Roll Out,2613
Beefcake,2646
Roll Out,2657
Nelson,2664
CourtPlay,2692
First USA,2747
Nike,2787
Nelson,2809
Reebok,2832
Ellis,2834
First USA,2859
Gosen,2896
Genesis,2913
Bubble Face,2944
Beefcake,2957
Gemini,2977
Genesis,2980
Nike,2984
Reebok,2985
Spalding,2998
Nelson,3006
Pinch,3009
Nike,3047
Reebok,3058
Gemini,3118
Marty Hogan,3148
Gosen,3162
Spalding,3199
First USA,3242
Gosen,3245
Gosen,3292
Johnson,3328
Reebok,3338
Ellis,3376
Head,3394
Swain,3403
Spalding,3405
Johnson,3419
Santa Anne Company,3438
Johnson,3450
Genesis,3470
Marty Hogan,3473
Roll Out,3515
First USA,3536
Wilson,3542
First USA,3582
Ektelon,3591
Head,3629
Gemini,3638
Beefcake,3672
Swain,3682
Genesis,3714
Skip Shot,3717
Roll Out,3742
First USA,3743
Z-Ball,3755
Pinch,3787
Gemini,3800
Genesis,3834
Marty Hogan,3839
Head,3846
Pro Kennex,3852
CourtPlay,3916
Pro Kennex,3923
Skip Shot,3979
Gemini,3980
Bubble Face,3991
CourtPlay,3999
